,pat,entity A,entity B,apis
27,convert (.*) to (.*),"['epoch', 'time']",['date'],['java.util.TimeZone.getTimeZone']
28,convert (.*) to (.*),['biginteger'],['string'],"['java.lang.String.getBytes', 'java.math.BigInteger.toByteArray']"
29,convert (.*) to (.*),['inputstream'],"['virtual', 'file']",['java.io.File.createTempFile']
30,convert (.*) to (.*),"['a', 'localdate']","['an', 'instant']","['java.time.ZoneId.systemDefault', 'java.time.LocalDate.now']"
31,convert (.*) to (.*),['date'],['xmlgregoriancalendar'],['javax.xml.datatype.DatatypeFactory.newInstance']
32,convert (.*) to (.*),"['from', 'radians']",['degrees'],['java.lang.Math.toDegrees']
33,convert (.*) to (.*),"['byte', 'array']",['hexstring'],['java.lang.String.format']
34,convert (.*) to (.*),['int'],['byte'],['java.nio.ByteBuffer.allocate']
35,convert (.*) to (.*),"['millisecond', 'string']",['date'],"['java.lang.Long.parseLong', 'java.lang.Double.parseDouble', 'java.util.Calendar.getInstance']"
36,convert (.*) to (.*),['char'],['string'],['java.lang.String.valueOf']
37,convert (.*) to (.*),"['current', 'datetime']",['long'],['java.lang.System.currentTimeMillis']
38,convert (.*) to (.*),['string'],"['integer', 'jsp']",['java.lang.Integer.parseInt']
39,convert (.*) to (.*),"['a', 'string']","['a', 'soapmessage']",['javax.xml.soap.MessageFactory.newInstance']
40,convert (.*) to (.*),['string'],['keyevents'],['java.lang.String.valueOf']
41,convert (.*) to (.*),['vector'],"['string', 'array']",['java.util.Vector.toArray']
42,convert (.*) to (.*),"['a', 'string']","['double', 'java']",['java.text.NumberFormat.getInstance']
43,convert (.*) to (.*),['string'],"['xml', 'file']",['javax.xml.parsers.DocumentBuilderFactory.newInstance']
44,convert (.*) to (.*),['it'],['char'],['java.lang.Integer.parseInt']
45,convert (.*) to (.*),"['textfield', 'value']",['int'],['java.lang.Double.parseDouble']
46,convert (.*) to (.*),"['lat', 'lon']",['utm'],['java.util.Collections.singletonMap']
47,convert (.*) to (.*),"['uuid', 'value']",['string'],['java.util.UUID.randomUUID']
48,convert (.*) to (.*),['byte'],['binary'],"['java.lang.Integer.toBinaryString', 'java.lang.Integer.toHexString', 'java.lang.Integer.parseInt']"
49,convert (.*) to (.*),"['text', 'content']",['image'],['javax.imageio.ImageIO.write']
50,convert (.*) to (.*),"['ascii', 'byte']",['string'],['java.util.logging.Logger.getLogger']
51,convert (.*) to (.*),"['hex', 'string']","['binary', 'string']","['java.lang.Integer.toBinaryString', 'java.lang.Integer.parseInt']"
52,convert (.*) to (.*),"['plain', 'text']","['html', 'text']",['java.util.regex.Pattern.compile']
53,convert (.*) to (.*),"['rgb', 'values']","['color', 'name']",['java.lang.Math.abs']
54,convert (.*) to (.*),"['rgb', 'value']",['hsv'],['java.awt.Color.RGBtoHSB']
55,convert (.*) to (.*),['integer'],['bigdecimal'],"['java.math.BigDecimal.valueOf', 'java.math.BigInteger.valueOf']"
56,convert (.*) to (.*),['ascii'],['int'],['java.lang.Character.getNumericValue']
57,convert (.*) to (.*),"['java', 'string']","['byte', 'array']",['java.lang.Integer.toString']
58,convert (.*) to (.*),"['a', 'string']","['a', 'gregoriancalendar']",['java.util.Calendar.getInstance']
59,convert (.*) to (.*),"['string', 'type']","['class', 'type']",['java.lang.Class.forName']
60,convert (.*) to (.*),['it'],['lowercase'],['java.util.Arrays.toString']
61,convert (.*) to (.*),"['xml', 'string']","['java', 'object']",['javax.xml.bind.JAXBContext.newInstance']
62,convert (.*) to (.*),"['an', 'icon']","['an', 'image']",['java.lang.Class.forName']
63,convert (.*) to (.*),"['from', 'string']",['publickey'],['java.security.KeyFactory.getInstance']
64,convert (.*) to (.*),['int'],['inetaddress'],"['java.net.InetAddress.getByAddress', 'java.math.BigInteger.valueOf']"
65,convert (.*) to (.*),"['binary', 'string']","['byte', 'array']","['java.nio.ByteBuffer.allocate', 'java.lang.Short.parseShort']"
66,convert (.*) to (.*),"['xml', 'file']",['csv'],['org.xml.sax.helpers.XMLReaderFactory.createXMLReader']
67,convert (.*) to (.*),['offsetdatetime'],"['utc', 'timestamp']",['java.sql.Timestamp.valueOf']
68,convert (.*) to (.*),['string'],['integer'],['java.lang.Integer.parseInt']
69,convert (.*) to (.*),['decimal'],['fractions'],['java.lang.String.valueOf']
70,convert (.*) to (.*),['integer'],"['int', 'array']",['java.util.Arrays.stream']
71,convert (.*) to (.*),"['a', 'char']","['a', 'charsequence']",['java.nio.CharBuffer.wrap']
72,convert (.*) to (.*),"['md', 'array']","['string', 'java']","['java.util.Base64.getEncoder', 'java.security.MessageDigest.getInstance']"
73,convert (.*) to (.*),['string'],['offsetdatetime'],['java.time.LocalDate.parse']
74,convert (.*) to (.*),['int'],"['double', 'java']",['java.lang.Math.round']
75,convert (.*) to (.*),"['a', 'tif']",['png'],"['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
76,convert (.*) to (.*),"['input', 'char']","['uppercase', 'automatically']",['java.lang.Character.toUpperCase']
77,convert (.*) to (.*),"['any', 'integer']",['digits'],"['java.lang.Integer.compare', 'java.lang.Integer.valueOf', 'java.lang.String.format']"
78,convert (.*) to (.*),"['negative', 'image']",['positive'],"['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
79,convert (.*) to (.*),"['short', 'array']","['byte', 'array']",['java.nio.ByteBuffer.allocate']
80,convert (.*) to (.*),"['xml', 'string']",['arraylist'],"['javax.xml.xpath.XPathFactory.newInstance', 'javax.xml.parsers.DocumentBuilderFactory.newInstance']"
81,convert (.*) to (.*),"['java', 'object']",['xml'],['javax.xml.bind.JAXBContext.newInstance']
82,convert (.*) to (.*),"['utc', 'timestamp']","['local', 'datetime']","['java.util.TimeZone.getDefault', 'java.util.Calendar.getInstance']"
83,convert (.*) to (.*),"['rgb', 'color']","['cie', 'lab']","['java.awt.color.ColorSpace.getInstance', 'java.lang.Math.cbrt', 'java.lang.String.valueOf']"
84,convert (.*) to (.*),"['duration', 'unit']",['milliseconds'],['java.time.Duration.of']
85,convert (.*) to (.*),['bytearray'],"['uuid', 'java']",['java.nio.ByteBuffer.wrap']
86,convert (.*) to (.*),"['hex', 'string']",['float'],"['java.lang.Float.intBitsToFloat', 'java.lang.Long.parseLong']"
87,convert (.*) to (.*),"['the', 'object']",['string'],"['java.util.Arrays.asList', 'java.util.Arrays.copyOf']"
88,convert (.*) to (.*),"['datepicker', 'value']",['string'],['java.sql.Date.valueOf']
89,convert (.*) to (.*),"['localtime', 'java']",['date'],['java.util.Date.from']
90,convert (.*) to (.*),"['unicode', 'string']",['ascii'],"['java.text.Normalizer.normalize', 'java.util.regex.Pattern.quote']"
91,convert (.*) to (.*),['zoneddatetime'],['millisecond'],"['java.time.LocalDateTime.now', 'java.time.Instant.now', 'java.time.Instant.ofEpochMilli']"
92,convert (.*) to (.*),"['binary', 'string']","['hex', 'string']",['java.lang.String.format']
93,convert (.*) to (.*),['string'],['double'],['java.lang.Double.parseDouble']
94,convert (.*) to (.*),['time'],['long'],['java.sql.Time.valueOf']
95,convert (.*) to (.*),['float'],['integer'],['java.lang.Math.round']
96,convert (.*) to (.*),"['an', 'object']","['an', 'int']",['java.lang.Integer.parseInt']
97,convert (.*) to (.*),"['scala', 'option']","['java', 'optional']",['java.util.Optional.ofNullable']
98,convert (.*) to (.*),"['from', 'string']",['string'],"['java.util.Arrays.copyOfRange', 'java.util.Collections.shuffle']"
99,convert (.*) to (.*),['string'],"['packed', 'decimal']","['java.lang.Long.toString', 'java.lang.Byte.valueOf']"
100,convert (.*) to (.*),"['a', 'list']","['optional', 'list']",['java.util.Optional.of']
101,convert (.*) to (.*),['imageoutputstream'],['byte'],"['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.createImageOutputStream']"
102,convert (.*) to (.*),['byte'],"['buffer', 'type']",['java.nio.ByteBuffer.wrap']
103,convert (.*) to (.*),"['from', 'boolean']",['boolean'],['java.lang.Boolean.valueOf']
104,convert (.*) to (.*),"['alternate', 'char']",['uppercase'],"['java.lang.Character.toLowerCase', 'java.lang.Character.toUpperCase']"
105,convert (.*) to (.*),['string'],['xml'],['javax.xml.parsers.DocumentBuilderFactory.newInstance']
106,convert (.*) to (.*),['json'],"['object', 'list']",['java.lang.String.format']
107,convert (.*) to (.*),['string'],['array'],['java.lang.Integer.parseInt']
108,convert (.*) to (.*),"['json', 'date']","['java', 'date']",['java.lang.Integer.parseInt']
109,convert (.*) to (.*),['float'],['bits'],['java.lang.Double.doubleToLongBits']
110,convert (.*) to (.*),['string'],['integer'],['java.lang.Integer.parseInt']
111,convert (.*) to (.*),"['a', 'instant']","['a', 'localtime']","['java.time.LocalTime.from', 'java.time.Instant.now']"
112,convert (.*) to (.*),"['hexadecimal', 'string']","['ip', 'address']",['java.net.InetAddress.getByAddress']
113,convert (.*) to (.*),['simpledateformat'],['datetimeformatter'],"['java.time.LocalDate.parse', 'java.time.format.DateTimeFormatter.ofPattern']"
114,convert (.*) to (.*),['string'],"['date', 'object']",['java.util.Calendar.getInstance']
115,convert (.*) to (.*),"['from', 'void']",['int'],['java.util.Arrays.sort']
116,convert (.*) to (.*),['it'],"['byte', 'array']","['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
117,convert (.*) to (.*),"['a', 'string']",['object'],['java.lang.Class.forName']
118,convert (.*) to (.*),"['from', 'zoneddatetime']","['joda', 'datetime']","['java.time.ZoneId.of', 'java.time.ZonedDateTime.of']"
119,convert (.*) to (.*),['it'],['string'],"['java.lang.System.currentTimeMillis', 'java.lang.String.format']"
120,convert (.*) to (.*),"['a', 'string']","['generic', 'type']",['java.lang.Integer.parseInt']
121,convert (.*) to (.*),"['from', 'void']","['arraylist', 'string']",['java.util.Collections.shuffle']
122,convert (.*) to (.*),"['long', 'value']","['char', 'sequence']",['java.nio.ByteBuffer.allocate']
123,convert (.*) to (.*),['rgb'],['bgr'],['java.lang.Integer.decode']
124,convert (.*) to (.*),['windows'],['utf'],['java.nio.charset.Charset.forName']
125,convert (.*) to (.*),"['list', 'string']","['list', 'integer']",['java.lang.Integer.parseInt']
126,convert (.*) to (.*),['dates'],['utc'],['java.util.TimeZone.setDefault']
127,convert (.*) to (.*),['string'],['integer'],['java.lang.Integer.parseInt']
128,convert (.*) to (.*),['localdate'],['offsetdatetime'],['java.time.OffsetDateTime.of']
129,convert (.*) to (.*),['inputstream'],['int'],['java.lang.Integer.parseInt']
130,convert (.*) to (.*),"['string', 'month']","['integer', 'java']",['java.util.Calendar.getInstance']
131,convert (.*) to (.*),['string'],['int'],['java.lang.Integer.parseInt']
132,convert (.*) to (.*),['binary'],['text'],['java.lang.Integer.parseInt']
133,convert (.*) to (.*),['ints'],['booleans'],['java.lang.Boolean.parseBoolean']
134,convert (.*) to (.*),"['timestamp', 'string']","['epoch', 'time']","['java.time.LocalDateTime.parse', 'java.time.ZoneId.getAvailableZoneIds', 'java.time.LocalDateTime.of', 'java.time.format.DateTimeFormatter.ofPattern', 'java.time.ZoneId.of', 'java.time.ZoneId.systemDefault']"
135,convert (.*) to (.*),"['a', 'bufferedimage']",['bit'],['javax.imageio.ImageIO.write']
136,convert (.*) to (.*),['hexadecimal'],['string'],['javax.xml.bind.DatatypeConverter.parseHexBinary']
137,convert (.*) to (.*),['arraylist'],['string'],['java.lang.StringBuilder.replace']
138,convert (.*) to (.*),['string'],['long'],"['java.lang.Long.parseLong', 'java.lang.Integer.parseInt']"
139,convert (.*) to (.*),"['dicom', 'file']","['jpg', 'conversion']","['javax.imageio.ImageIO.getImageReadersByFormatName', 'javax.imageio.ImageIO.createImageInputStream']"
140,convert (.*) to (.*),['string'],"['byte', 'array']",['java.lang.String.getBytes']
141,convert (.*) to (.*),"['bigint', 'timestamp']",['date'],"['java.time.Instant.ofEpochMilli', 'java.time.format.DateTimeFormatter.ofPattern', 'java.math.BigInteger.longValue']"
142,convert (.*) to (.*),['string'],"['string', 'array']",['java.util.regex.Pattern.compile']
143,convert (.*) to (.*),['localdatetime'],['date'],['java.util.Date.from']
144,convert (.*) to (.*),['byte'],['string'],"['java.lang.Integer.toString', 'java.math.BigInteger.toString']"
145,convert (.*) to (.*),"['dataurl', 'image']","['image', 'file']","['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write', 'javax.xml.bind.DatatypeConverter.parseBase64Binary']"
146,convert (.*) to (.*),['webelement'],['int'],['java.lang.Integer.parseInt']
147,convert (.*) to (.*),"['byte', 'stream']","['character', 'stream']","['java.nio.charset.Charset.forName', 'java.nio.CharBuffer.allocate']"
148,convert (.*) to (.*),['string'],"['epoch', 'time']",['java.time.LocalDateTime.parse']
149,convert (.*) to (.*),['string'],"['double', 'java']",['java.lang.Double.parseDouble']
150,convert (.*) to (.*),['biginteger'],"['shorter', 'string']",['java.math.BigInteger.toString']
151,convert (.*) to (.*),"['simpledateformat', 'year']",['integer'],"['java.util.Calendar.getInstance', 'java.lang.Integer.parseInt']"
152,convert (.*) to (.*),['ist'],['pst'],['java.util.TimeZone.getTimeZone']
153,convert (.*) to (.*),"['arbitrary', 'string']","['java', 'identifier']",['java.util.Arrays.toString']
154,convert (.*) to (.*),['string'],['localdate'],['java.time.LocalDate.parse']
155,convert (.*) to (.*),"['a', 'uuid']",['base'],['java.nio.ByteBuffer.wrap']
156,convert (.*) to (.*),"['an', 'optional']","['an', 'optionalint']",['java.util.stream.Stream.of']
157,convert (.*) to (.*),['integer'],['int'],['java.lang.Integer.parseInt']
158,convert (.*) to (.*),"['hhmm', 'string']","['gmt', 'format']",['java.util.Calendar.getInstance']
159,convert (.*) to (.*),['int'],['uint'],"['java.util.Arrays.fill', 'java.lang.Math.pow', 'java.lang.Math.min']"
160,convert (.*) to (.*),"['x', 'y']",['angle'],['java.lang.Math.atan2']
161,convert (.*) to (.*),"['int', 'array']",['int'],['java.lang.Integer.parseInt']
162,convert (.*) to (.*),"['element', 'object']",['int'],['java.lang.Integer.parseInt']
163,convert (.*) to (.*),"['binary', 'number']",['double'],['java.nio.ByteBuffer.wrap']
164,convert (.*) to (.*),['utf'],['utf'],"['java.lang.Character.codePointAt', 'java.lang.Character.charCount', 'java.lang.String.format']"
165,convert (.*) to (.*),['byte'],['bitset'],"['java.util.BitSet.toByteArray', 'java.util.BitSet.length']"
166,convert (.*) to (.*),['byte'],"['aes', 'key']",['javax.crypto.Cipher.getInstance']
167,convert (.*) to (.*),"['vietnamese', 'text']","['normal', 'text']","['java.text.Normalizer.normalize', 'java.util.regex.Pattern.compile']"
168,convert (.*) to (.*),"['hex', 'string']",['base'],"['java.lang.Integer.parseInt', 'java.lang.Byte.parseByte']"
169,convert (.*) to (.*),"['string', 'arraylist']","['integer', 'arraylist']",['java.util.regex.Pattern.compile']
170,convert (.*) to (.*),"['a', 'string']","['timezone', 'android']",['java.util.TimeZone.getTimeZone']
171,convert (.*) to (.*),"['type', 'instant']","['type', 'xmlgregoriancalendar']","['javax.xml.datatype.DatatypeFactory.newInstance', 'java.time.Instant.now']"
172,convert (.*) to (.*),['xml'],"['messageelement', 'java']",['javax.xml.parsers.DocumentBuilderFactory.newInstance']
173,convert (.*) to (.*),"['a', 'string']","['jtextfield', 'type']","['java.lang.Class.forName', 'java.util.logging.Logger.getLogger']"
174,convert (.*) to (.*),"['unsigned', 'long']",['string'],"['java.lang.String.valueOf', 'java.math.BigInteger.valueOf']"
175,convert (.*) to (.*),"['a', 'char']","['an', 'int']",['java.lang.Integer.parseInt']
176,convert (.*) to (.*),"['a', 'string']",['float'],['java.text.NumberFormat.getInstance']
177,convert (.*) to (.*),['double'],['biginteger'],['java.math.BigDecimal.valueOf']
178,convert (.*) to (.*),"['a', 'char']","['bytes', 'array']","['java.nio.charset.Charset.forName', 'java.nio.ByteBuffer.wrap']"
179,convert (.*) to (.*),['string'],['hexadecimal'],['java.lang.String.format']
180,convert (.*) to (.*),"['binary', 'string']","['int', 'array']","['java.lang.Integer.parseInt', 'java.lang.Integer.toBinaryString']"
181,convert (.*) to (.*),"['jdom', 'document']",['soapmessage'],['javax.xml.soap.MessageFactory.newInstance']
182,convert (.*) to (.*),['jtree'],['xml'],"['javax.xml.transform.TransformerFactory.newInstance', 'javax.xml.parsers.DocumentBuilderFactory.newInstance']"
183,convert (.*) to (.*),"['accented', 'letters']","['regular', 'char']",['java.text.Normalizer.normalize']
184,convert (.*) to (.*),['jarentry'],['file'],['java.io.File.createTempFile']
185,convert (.*) to (.*),['double'],"['int', 'array']",['java.lang.String.valueOf']
186,convert (.*) to (.*),"['character', 'value']",['hexa'],['java.lang.String.format']
187,convert (.*) to (.*),"['string', 'object']","['arraylist', 'entity']",['java.lang.String.valueOf']
188,convert (.*) to (.*),['string'],"['hex', 'bytes']",['java.lang.Character.digit']
189,convert (.*) to (.*),['array'],['collection'],['java.util.Arrays.asList']
190,convert (.*) to (.*),['date'],"['timestamp', 'utc']",['java.sql.Timestamp.valueOf']
191,convert (.*) to (.*),"['string', 'array']",['arraylist'],['java.util.Arrays.asList']
192,convert (.*) to (.*),"['given', 'time']",['gmt'],['java.util.TimeZone.getTimeZone']
193,convert (.*) to (.*),"['for', 'loop']","['foreach', 'lambda']","['java.util.Arrays.asList', 'java.lang.Double.parseDouble', 'java.util.stream.Stream.of']"
194,convert (.*) to (.*),['pkcs'],['pkcs'],"['java.security.KeyFactory.getInstance', 'java.security.KeyStore.getInstance']"
195,convert (.*) to (.*),['null'],"['enum', 'null']",['java.util.Optional.ofNullable']
196,convert (.*) to (.*),"['french', 'accents']","['percent', 'encoding']",['java.net.URLEncoder.encode']
197,convert (.*) to (.*),['int'],['bytebuffer'],"['java.nio.ByteBuffer.asIntBuffer', 'java.nio.ByteBuffer.allocateDirect', 'java.nio.ByteBuffer.order']"
198,convert (.*) to (.*),"['dollar', 'amount']",['cents'],['java.math.BigDecimal.valueOf']
199,convert (.*) to (.*),"['argb', 'bitmap']","['byte', 'bgr']",['java.nio.ByteBuffer.allocate']
200,convert (.*) to (.*),['double'],['string'],['java.text.NumberFormat.getInstance']
201,convert (.*) to (.*),['rgb'],['hexadecimal'],['java.lang.Integer.toHexString']
202,convert (.*) to (.*),['file'],['string'],['java.util.Arrays.stream']
203,convert (.*) to (.*),"['plain', 'text']","['html', 'hyperlink']",['java.util.regex.Pattern.compile']
204,convert (.*) to (.*),['pst'],['gmt'],['java.util.TimeZone.getTimeZone']
205,convert (.*) to (.*),['imagebytearray'],['bufferedimage'],['javax.imageio.ImageIO.write']
206,convert (.*) to (.*),"['any', 'string']","['color', 'hex']","['java.lang.String.hashCode', 'java.lang.String.format']"
207,convert (.*) to (.*),"['http', 'response']","['xml', 'document']",['javax.xml.parsers.DocumentBuilderFactory.newInstance']
208,convert (.*) to (.*),['charbuffer'],['bytebuffer'],"['java.nio.ByteBuffer.allocate', 'java.nio.charset.Charset.encode', 'java.nio.CharBuffer.wrap']"
209,convert (.*) to (.*),"['a', 'double']","['decimal', 'places']","['java.lang.Float.valueOf', 'java.lang.String.format']"
210,convert (.*) to (.*),"['character', 'array']",['set'],"['java.util.Collections.unmodifiableSet', 'java.util.Arrays.stream', 'java.util.Arrays.asList']"
211,convert (.*) to (.*),['decimal'],"['gray', 'code']",['java.lang.String.valueOf']
212,convert (.*) to (.*),['milliseconds'],['hours'],"['java.lang.Long.parseLong', 'java.util.Calendar.getInstance']"
213,convert (.*) to (.*),"['a', 'string']",['jsonarray'],['java.util.regex.Pattern.compile']
214,convert (.*) to (.*),"['a', 'bytebuffer']",['long'],"['java.nio.LongBuffer.array', 'java.nio.ByteBuffer.wrap']"
215,convert (.*) to (.*),['byte'],['binary'],['java.lang.String.format']
216,convert (.*) to (.*),['pdfcopy'],"['byte', 'array']",['java.nio.file.Files.write']
217,convert (.*) to (.*),"['currency', 'format']",['double'],['java.text.NumberFormat.getNumberInstance']
218,convert (.*) to (.*),"['from', 'xmlaccesstype']",['accesstype'],['javax.xml.bind.JAXBContext.newInstance']
219,convert (.*) to (.*),"['string', 'number']","['integer', 'number']","['java.lang.Long.parseLong', 'java.lang.Double.parseDouble', 'java.lang.Integer.parseInt', 'java.lang.Float.parseFloat']"
220,convert (.*) to (.*),['input'],['uppercase'],['java.lang.Character.toUpperCase']
221,convert (.*) to (.*),"['c', 'datetime']","['java', 'datetime']","['java.time.LocalDateTime.now', 'java.time.LocalDateTime.of']"
222,convert (.*) to (.*),['object'],"['arraylist', 'object']",['java.util.Arrays.asList']
223,convert (.*) to (.*),['xmlgregoriancalender'],"['different', 'timezone']",['javax.xml.datatype.DatatypeFactory.newInstance']
224,convert (.*) to (.*),"['integer', 'double']",['string'],['java.lang.Double.toString']
225,convert (.*) to (.*),['element'],['string'],['org.w3c.dom.Node.getNodeName']
226,convert (.*) to (.*),"['from', 'void']",['char'],"['java.util.Arrays.equals', 'java.util.Arrays.sort']"
227,convert (.*) to (.*),"['int', 'array']","['base', 'string']","['java.nio.ByteBuffer.allocate', 'java.util.stream.IntStream.of', 'java.util.Base64.getEncoder']"
228,convert (.*) to (.*),"['the', 'code']","['use', 'completablefuture']",['java.util.concurrent.CompletableFuture.supplyAsync']
229,convert (.*) to (.*),['textview'],['string'],['java.lang.String.valueOf']
230,convert (.*) to (.*),"['an', 'angle']","['a', 'vector']","['java.lang.Math.sin', 'java.lang.Math.cos', 'java.lang.Math.atan2']"
231,convert (.*) to (.*),['all'],['lowercase'],['java.lang.String.format']
232,convert (.*) to (.*),['string'],['bytes'],['java.util.regex.Pattern.compile']
233,convert (.*) to (.*),['imageinputstream'],['bufferedimage'],"['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
234,convert (.*) to (.*),"['large', 'binary']",['decimal'],['java.lang.Integer.parseInt']
235,convert (.*) to (.*),"['here', 'url']",['string'],"['java.nio.file.Paths.get', 'java.nio.file.Files.copy']"
236,convert (.*) to (.*),"['textbox', 'input']","['integer', 'java']",['java.lang.Integer.parseInt']
237,convert (.*) to (.*),"['byte', 'array']","['japanese', 'character']",['java.lang.String.getBytes']
238,convert (.*) to (.*),['string'],"['multiple', 'strings']","['java.util.Arrays.toString', 'java.lang.String.split']"
239,convert (.*) to (.*),['recursion'],['iteration'],['java.util.Arrays.stream']
240,convert (.*) to (.*),"['python', 'time']","['java', 'date']",['java.lang.Long.parseLong']
241,convert (.*) to (.*),"['est', 'time']","['local', 'time']",['java.util.TimeZone.getDefault']
242,convert (.*) to (.*),['array'],['sentence'],['java.util.Arrays.copyOfRange']
243,convert (.*) to (.*),"['a', 'float']",['int'],['java.lang.Math.abs']
244,convert (.*) to (.*),['int'],['string'],"['java.lang.Integer.toString', 'java.lang.Integer.parseInt']"
245,convert (.*) to (.*),['boolean'],"['boolean', 'java']","['java.text.DecimalFormat.setParseBigDecimal', 'java.text.DecimalFormat.parse']"
246,convert (.*) to (.*),['int'],"['big', 'integer']",['java.nio.ByteBuffer.wrap']
247,convert (.*) to (.*),"['decimal', 'value']",['hexadecimal'],"['java.lang.Integer.parseInt', 'java.lang.String.format']"
248,convert (.*) to (.*),"['a', 'zippath']",['file'],"['java.nio.file.Files.newInputStream', 'java.io.File.createTempFile']"
249,convert (.*) to (.*),"['a', 'linkedhashset']","['an', 'enumset']",['java.util.EnumSet.copyOf']
250,convert (.*) to (.*),"['hex', 'string']","['octal', 'string']",['java.lang.Integer.toString']
251,convert (.*) to (.*),"['a', 'stacktraceelement']","['a', 'string']",['java.lang.Thread.currentThread']
252,convert (.*) to (.*),['hash'],"['random', 'string']","['java.lang.Integer.toString', 'java.lang.Integer.parseInt']"
253,convert (.*) to (.*),"['gregorian', 'string']","['gregorian', 'calendar']","['java.lang.Long.parseLong', 'java.util.regex.Pattern.compile']"
254,convert (.*) to (.*),"['php', 'unicode']",['character'],['java.util.regex.Pattern.compile']
255,convert (.*) to (.*),"['a', 'path']","['absolute', 'path']",['java.nio.file.Paths.get']
256,convert (.*) to (.*),['dec'],"['bit', 'int']",['java.nio.ByteBuffer.wrap']
257,convert (.*) to (.*),['offsettime'],"['local', 'offsettime']",['java.time.OffsetTime.of']
258,convert (.*) to (.*),['decimal'],['hexadecimal'],['java.lang.Integer.toHexString']
259,convert (.*) to (.*),['grayscale'],"['color', 'gradient']","['javax.imageio.ImageIO.read', 'javax.swing.SwingUtilities.invokeLater']"
260,convert (.*) to (.*),"['hexadecimal', 'number']",['binary'],['java.lang.Long.parseLong']
261,convert (.*) to (.*),"['standard', 'time']","['traditional', 'time']","['java.lang.Integer.toString', 'java.lang.Integer.parseInt']"
262,convert (.*) to (.*),"['from', 'geopoint']",['string'],['java.lang.String.valueOf']
263,convert (.*) to (.*),"['japanese', 'date']","['western', 'date']",['java.text.DateFormat.getDateInstance']
264,convert (.*) to (.*),"['arraylist', 'byte']",['bytebuffer'],['java.nio.ByteBuffer.allocate']
265,convert (.*) to (.*),"['bufferedimage', 'rgba']","['bufferedimage', 'rgb']","['javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
